Date,Open,High,Low,Close,Volume,Market Cap
Sep-16-2021,48150.0101,48445.8989,47028.2465,47816.2504,59031345166.22222,901061187442.5305
Sep-15-2021,47068.4868,48406.6771,46779.27564701221,48092.9703,68721306040.88889,894934521116.1719
Sep-14-2021,44932.42345725818,47173.6667,44836.9850911291,47012.9104,77498384326.91289,866007100849.4642
Sep-13-2021,46057.4156,46249.98932231482,43389.23248465574,44990.02141158837,65135996771.55556,842638247793.9503
Sep-12-2021,45136.6393,46381.79224994456,44759.75497477412,46058.0015,48187149198.22222,858416002994.9508
Sep-11-2021,44852.1612,45910.01636659036,44808.3803,45096.0509,55353657422.494774,853423500160.2244
Sep-10-2021,46376.4646,47022.950323068086,44238.2997,44833.0831,55572355650.006966,863815094640.0983
Sep-09-2021,46051.3805,47214.44557637082,45638.965161045024,46319.9526,67899230933.333336,873008832613.6353
Sep-08-2021,46778.3093,47282.8692,44516.4766,45972.9463,106991221447.11111,870520273386.5895
Sep-07-2021,52668.6218,52871.6858,43753.2266,46881.9971,82249292259.55556,939586811268.7075
Sep-06-2021,51747.2295,52707.1749,50987.3603,52639.2443,59320284405.1831,973527553044.1613
Sep-05-2021,49914.7482695526,51832.9458,49488.1832,51698.7267,53857252209.77778,946435855097.4442
Sep-04-2021,50001.53053773124,50525.7903,49515.9757,49974.09727500616,66721901411.55556,941241509428.4313
Sep-03-2021,49289.8967,50999.9809,48483.7843,49987.63656811707,75273290555.76306,938164581711.41
Sep-02-2021,48829.9747,50315.56810299959,48713.4627,49318.558,68777141351.47038,933396767980.5057
Sep-01-2021,47131.564,48930.0114,46549.0158,48744.6322,60738599082.666664,896181279580.8884
Aug-31-2021,46973.534,48071.288861060406,46721.1751,47225.2696,56943712625.77778,889195144813.9353
Aug-30-2021,48763.4158,48822.33168422843,46972.978,47020.6765,48179454137.533104,903670570540.5294
Aug-29-2021,48879.928,49549.8061,48002.0103,48876.7643,48229478485.63066,914254355209.1455
Aug-28-2021,49042.1753,49255.7015,48483.4611,48864.0249,53492946569.014084,918698539920.8687
Aug-27-2021,46838.8608,49075.8157,46359.9806,49005.9495,57376285724.44444,896916691457.4386
Aug-26-2021,48987.1091,49327.9881,46471.708,47130.6185,63803503262.77352,889986412584.5696
Aug-25-2021,47680.9414,49158.38949410668,47167.0213,48939.9658,60151994652.44444,906908256405.464
Aug-24-2021,49540.1129,49828.03845186318,47734.0314,47734.0314,65083046847.552444,919046656036.4778
Aug-23-2021,49279.95149462958,50444.79608877101,49095.00496472142,49486.4032,63427233891.55556,937077207548.4133
Aug-22-2021,48845.54568147114,49451.46797148415,48231.35190956754,49223.9471176446,54305803374.60627,918252636933.9546
Aug-21-2021,49307.45728783004,49685.0916,48344.5907,49000.4242,66932790903.52613,920956990033.8217
Aug-20-2021,46753.2071,49290.63142292472,46669.4994,49270.61314785449,64823787278.22222,897465475109.4467
Aug-19-2021,44752.5042,46907.19985180653,43977.69169510481,46666.8683,57015323932.44444,849460246207.7261
Aug-18-2021,44681.517,45892.6758,44342.7328,44856.0324,74813786339.55556,847896521850.9545